id,file,location,printed_value,precision,tier,key,printed_as_digit,why
s2_containment,paper/main.tex,§2.3 Theorem 2: containment checked in the released code,0.0,1,0,s2.sharpness.containment.worst_violation,False,stated in words ('the released code constructs an admissible system that matches both EERs within numerical precision'); checked as zero violations over random admissible systems
s2_attainment,paper/main.tex,§2.3 Theorem 2: every sampled value attained,1.0,1,0,s2.sharpness.attainment.worst_e12,False,"stated in words, not as a bound digit; checked as worst crossing residual x 1e12 <= 1"
s2_witness_pooled,paper/main.tex,§2.3: the released code's admissible system matches the ESDD2 baseline's published pooled EER,0.4336,4,0,s2.sharpness.witness.pooled,False,the paper says the released code constructs a matching admissible system; this is the published value it reproduces
s2_witness_comp,paper/main.tex,§2.3: the same witness at the lower endpoint of the identified interval,0.0000,4,0,s2.sharpness.witness.component_only,False,"the lower endpoint that witness sits at, given w_0=0.5323 and the published 0.4336"
fig2_area_roc,paper/main.tex,"Fig. 2 legend, area under ROC_a (= AUC_a)",0.8740,4,0,"acds.rows.reference.(0,1)",True,
fig2_area_r0,paper/main.tex,"Fig. 2 legend, area under alpha_0 R_0 (= alpha_0(1-AUC_0))",0.7130,4,0,acds.aucs.reference.alarm_area,True,
fig2_area_ac,paper/main.tex,"Fig. 2 legend, area under AC (= ACDS(1,1))",0.1611,4,0,"acds.rows.reference.(1,1)",True,
s41_step_gap,paper/main.tex,"§4.1 trapezoidal vs step rule, at most 4e-4",4,0,0,acds.worst_step_gap_e4,True,printed as the bound 4 x 10^-4; checked as the worst gap x 1e4 <= 4
s41_eval,paper/main.tex,§4.1 evaluation clips,27605,0,0,counts.eval_clips,True,
s41_sr,paper/main.tex,§4.1 kHz,16,0,0,cfg.sample_rate_khz,True,
s41_seeds,paper/main.tex,§4.1 three random seeds,3,0,0,settings.n_seeds,False,spelled as a word in the paper
t1_max_sd,paper/main.tex,"Table 1 caption, seed s.d. bound",0.0015,4,0,t1.max_seed_sd_excl_attentive_ceil,False,internal check backing 'mean over three random seeds'; not itself a printed digit
t1_head_c_mid,paper/main.tex,§4.2 the constant c=0.5,0.5,1,0,settings.c_mid,True,
t1_beats_c0,paper/main.tex,"Abstract / §4.2, BEATs Linear at c=0",0.5382,4,0,t1.rows.beats_linear.mean.0,True,
t1_beats_c05,paper/main.tex,"Abstract / §4.2, BEATs Linear at c=0.5",0.1412,4,0,t1.rows.beats_linear.mean.0.5,True,
t1_beats_spread,paper/main.tex,"§4.2 / Table 1 caption, BEATs Linear spread",0.3970,4,0,t1.rows.beats_linear.spread,True,
t1_eat_c0,paper/main.tex,"§4.2, EAT Linear at c=0",0.5400,4,0,t1.rows.eat_linear.mean.0,True,
t1_ref_comp,paper/main.tex,"§4.3, ESDD2 baseline component-only environmental EER",0.2090,4,0,t1.rows.reference.component_only,True,
t1a_beats_01,paper/main.tex,"Table 1, BEATs Linear (0,1)",0.9240,4,0,"acds.rows.beats_linear.(0,1)",True,
t1a_beats_11,paper/main.tex,"Table 1, BEATs Linear (1,1)",0.9169,4,0,"acds.rows.beats_linear.(1,1)",True,
t1a_beats_02,paper/main.tex,"Table 1, BEATs Linear (0,0.2)",0.7032,4,0,"acds.rows.beats_linear.(0,0.2)",True,
t1a_beats_w,paper/main.tex,"Table 1, BEATs Linear (w0/wa,1)",0.9159,4,0,"acds.rows.beats_linear.(w0/wa,1)",True,
t1a_eat_01,paper/main.tex,"Table 1, EAT Linear (0,1)",0.8859,4,0,"acds.rows.eat_linear.(0,1)",True,
t1a_eat_11,paper/main.tex,"Table 1, EAT Linear (1,1)",0.8487,4,0,"acds.rows.eat_linear.(1,1)",True,
t1a_eat_02,paper/main.tex,"Table 1, EAT Linear (0,0.2)",0.5522,4,0,"acds.rows.eat_linear.(0,0.2)",True,
t1a_eat_w,paper/main.tex,"Table 1, EAT Linear (w0/wa,1)",0.8435,4,0,"acds.rows.eat_linear.(w0/wa,1)",True,
t1a_attn_01,paper/main.tex,"Table 1, BEATs Attentive (0,1)",0.9248,4,0,"acds.rows.beats_attentive.(0,1)",True,
t1a_attn_11,paper/main.tex,"Table 1, BEATs Attentive (1,1)",0.5760,4,0,"acds.rows.beats_attentive.(1,1)",True,
t1a_attn_02,paper/main.tex,"Table 1, BEATs Attentive (0,0.2)",0.7081,4,0,"acds.rows.beats_attentive.(0,0.2)",True,
t1a_attn_w,paper/main.tex,"Table 1, BEATs Attentive (w0/wa,1)",0.5278,4,0,"acds.rows.beats_attentive.(w0/wa,1)",True,
t1a_twoenc_01,paper/main.tex,"Table 1, BEATs + XLS-R (0,1)",0.9268,4,0,"acds.rows.two_encoder.(0,1)",True,
t1a_twoenc_11,paper/main.tex,"Table 1, BEATs + XLS-R (1,1)",0.5544,4,0,"acds.rows.two_encoder.(1,1)",True,
t1a_twoenc_02,paper/main.tex,"Table 1, BEATs + XLS-R (0,0.2)",0.7465,4,0,"acds.rows.two_encoder.(0,0.2)",True,
t1a_twoenc_w,paper/main.tex,"Table 1, BEATs + XLS-R (w0/wa,1)",0.5030,4,0,"acds.rows.two_encoder.(w0/wa,1)",True,
t1a_ref_01,paper/main.tex,"Table 1, ESDD2 baseline (0,1)",0.8740,4,0,"acds.rows.reference.(0,1)",True,
t1a_ref_11,paper/main.tex,"Table 1, ESDD2 baseline (1,1)",0.1611,4,0,"acds.rows.reference.(1,1)",True,
t1a_ref_02,paper/main.tex,"Table 1, ESDD2 baseline (0,0.2)",0.6526,4,0,"acds.rows.reference.(0,0.2)",True,
t1a_ref_w,paper/main.tex,"Table 1, ESDD2 baseline (w0/wa,1)",0.0626,4,0,"acds.rows.reference.(w0/wa,1)",True,
t1a_tmax,paper/main.tex,"Table 1, t_max = 0.2 row",0.2,1,0,acds.tmax_short,True,
t1a_identity,paper/main.tex,§4.4 both invariance properties hold within 1e-15,1.0,1,0,acds.identity_residual_e15,False,printed as the bound 10^-15; checked as the worst identity residual x 1e15 <= 1
s42_spread_max,paper/main.tex,§4.2 varies by up to,0.3970,4,0,t1.spread_max,True,
